99995	61985
F(-O)	2	3
C(-C,-H,-N,-N)	38	60
Si(-C,=C)	0	2
C(-N,-O,=S)	16	3
C(-C,-N,-N,-N)	2	4
Cl(-N)	13	23
C(-C,-C,=C)	45920	28950
C(-B,=C)	0	1
C(-N,-N,=O)	1064	719
C(-O,-P)	8	11
C(-C,-H,-O,-O)	69	163
N(-C,-N,-O)	3	8
N(-C,=C)	34585	20825
O(-B,-C)	46	92
Si(-O,-O,-O,-Si)	1	2
C(-Br,-C,-C,-C)	15	19
F(-N)	4	2
C(-C,-N,-N,-O)	3	5
C(-B,-C,-N)	1	4
C(-C,-C,-N,-Si)	1	4
O(=Si)	0	1
P(-Cl,-O,-O)	1	0
C(-C,-C,=B)	0	15
C(-C,-C,-N,-S)	26	39
C(-C,-P,=P)	0	1
P(-O,-O,-S,=S)	3	3
C(-N,-N,=N)	3153	1997
O(-B,-B)	0	1
C(-O,-O)	599	424
C(-C,-H,-O,-P)	1	4
C(-C,-P,=N)	0	4
S(-O,-P)	0	1
S(=C,=C)	1	4
C(-C,-C,-P,-P)	1	2
C(-B,-C,-O)	0	1
N(-N,-S)	47	36
C(-B)	2	16
C(-C,-N,-N,-P)	1	0
C(-I,-N,=C)	5	21
N(-C,-N,-P)	0	3
P(-N,-O,-O)	1	3
Si(-C,-C,-C,-Si)	0	8
C(-C,-N,-O,-S)	2	1
O(-I,-S)	0	2
S(-C,-Cl)	1	2
C(-H,-S,=C)	44	28
C(-C,-P,=O)	3	6
N(-C,-O,-S)	10	8
B(-N,-O,-O)	2	0
P(-N,-N,-N,=C)	0	1
N(-N,-N)	115	94
C(-C,-C,-N,-P)	0	5
C(-C,-Cl,=C)	8446	5805
C(-F,-S,=N)	1	0
P(-P)	0	3
S(-N,-O)	1	0
C(-N,-O,=N)	3501	2012
N(-C,-C,=C)	0	1
O(-S,-Si)	1	0
Si(-O,-O,-O)	0	2
S(-O,-S)	0	3
C(-O,-S)	7	4
N(-O,-S)	9	0
C(-C,-F,=N)	75	41
Si(-N,-N)	0	1
N(-O,-S,-S)	0	1
N(-C,-N,-N)	150	125
C(-B,-C,-I)	0	1
C(-C,-S,-S,-Si)	1	0
C(-I,-O,=N)	0	1
C(-C,-O,=N)	18495	11702
